word,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5
(d)na-ap-ra-te-ip-me,si-ia]-an-ku-uk-pa,0.3355,la-an-si-ti-ih,0.3046,dingir-gal,0.2763,li-ki-ir,0.276,{ku-ši-ih},0.2708
si-a-ku-uk,šu-šu-un-[ka]-[…],0.3271,hu-uh-tah,0.3177,sa-ah-ri,0.302,a-gi,0.3013,ki-du-um-ma,0.2786
la-am-li-e-ma,u2-pa-at,0.3343,[…],0.3053,a-gi,0.3016,u2,0.2904,ar,0.2872
hu-uh-tah-ša,ku-la-a,0.3229,si-ia-an,0.3215,hi-en-ga,0.3063,si-ia-an-ku-uk,0.2939,u2-me,0.2904
[a-ak,[me]-lu-u[k-ra],0.3801,tu4-uš,0.3348,ša-ra-ra,0.3214,mu-ši-it-ta,0.2956,a]-ak,0.279
[u2,nu-ul-ki-ip-pi,0.339,tu4-um-pa-an-ra,0.2897,ša-at-me,0.2888,up-qu-mi-ma,0.2882,hi-ih-ni],0.2855
(d)ši-ia-šu-um,la-an-si-ti-ir-ra,0.32,e,0.3078,a-ha-ar,0.287,u2-pa-at,0.281,si-a-an-ku-uk-ra,0.2701
(d)ma-an-za-at,li-ik-ri-in,0.2942,u2,0.2935,[…],0.2763,(d)pi-ni-gir3,0.2754,ul-li-na,0.2705
tu4-[ur],ha-di-en,0.2991,ar,0.2709,hi-še,0.2695,hu-us-si-ip-me,0.2635,lu-ub-bu-ru-uh-ni,0.2546
(d)nin-e2-gal,u2-me,0.3498,hu-us-si-ip-me,0.3216,hi-ih,0.3215,in,0.3142,ir,0.2978
pi-ip-ši-ia,[hu]-uh-tah,0.2595,ku-ku-un-[nu-um,0.2303,šu-du-ur,0.23,[hu-us-si]-ip-me,0.2208,[hi-ih,0.2155
be-el-ti,a-lu-me-lu,0.2475,[a-gi],0.2392,i-me-ni,0.2255,pi-it-te-ga,0.2185,si-it-me],0.2119
(d)in-na-na,in-[ti-ik-ka,0.3756,ku-ši-ih,0.3589,la-ha-ak-ir-ra,0.3564,hu-ut-ta-ak,0.3065,en,0.2822
(d)na-bi-um,si-ia-an-ku-uk-pa,0.342,la-an-si-ti-ip-pa,0.3077,u2-ri-pu-pi,0.2728,hi-ih-li,0.2615,(d)hu-um-ban,0.2607
(m)hu-ban-nu-me-na-ki,ik-el,0.2643,ki-du-um-ma,0.2595,{ku}?-nu-um,0.255,ku-[ši-ih,0.2538,si-[ia-an-ku]-uk-[ra,0.243
(d)hu-um-ban,i-la-a-ni-me,0.2723,hu-ut-tah,0.2622,(d)na-bi-um,0.2607,la-ni-e,0.2572,uk-ku-pi,0.2568
(d)ru-hu-ra-tir,(d)na-bu-me,0.2987,si-ia-an-ku-uk,0.2799,hi-i-še-e,0.2578,te-ip-[ti],0.2508,x-x,0.2501
(d)hi-iš-mi-di-ik,si-a-an-ku-uk-ra,0.2921,hi-iš-e,0.279,mu-ur-ti,0.2668,šu-du-ur,0.252,a-bu-ul,0.2501
lu-pi-en,(md)hu-ban-nu-um-me-en-na-ki,0.2895,ka-ak-pa-ah,0.2803,hu-ut2-tak-ha]-li-[ik,0.2754,hi-[en-g]a,0.2658,ni,0.2551
dingir-gal-me,u2-[me,0.2769,[hu-us-si]-ip-me,0.2768,(d)hu-um-ban-me,0.2665,an-za-an],0.263,si-ia-an-ku-{uk}-[pa],0.256
zu-un-ki-ip,zu-lu-ka-ak,0.2943,up-kum-mi-ia,0.276,u2-ri-pu-pi,0.2595,(d)ša-la-me,0.2528,me-lu-uk-ra,0.2487
u2-pa-ti-pi,[ip-il-la-ti],0.3301,in-ti-ik-[ka],0.3238,dur-na-ah-u2-te-{na}?,0.3205,ur,0.2818,[ku-ku]-un-nu-um,0.2735
ku-ši-ha,si-ia]-an-ku-uk-pa,0.3401,(d){na-bu}-u2,0.3065,ku-ši-ih-ma,0.2909,dingir-gal,0.2886,ap-pu-ki-me,0.2824
ni-im-ma,su-un-ki-me,0.3783,hu-šu-ia,0.3325,(d)in-šu-ši-na-ak,0.3002,(m)hu-ban-um-me-na-ki,0.3001,i,0.2777
tu4-um-pa,a-gi,0.3132,te-la-ak-li,0.3055,mu-ši-a,0.2816,šu-ul-lu-me-en-ga,0.2802,(d)in-šu-uš-n[a-ak],0.2766
ka-ak-pa-ah,(d)ki-{ri-ri}-ša,0.4093,[…],0.3052,lu-pi-en,0.2803,du-ni-ih,0.2771,ha-li-ih,0.271
a-al,a-ha-an,0.3221,ku-ku-un-nu-um],0.2885,zu-lu-ka-ak,0.2755,in-tu4-um,0.2537,(d)in-šu-[uš]-na-ak,0.2431
ha-al-ma-šu-um,na,0.2931,hu-ut-ta-ak-[ha-li-ik],0.2498,10,0.2407,si-it-tan-me,0.2393,pa-ar,0.2343
[…]-ak,t]e-la-[ak]-li,0.3942,ki?-iz?-zu-um,0.264,ku-du-ni,0.2398,hu]-us-si-ip-me,0.2376,ia,0.2262
gi-ri-ni,su-us-ka-tah,0.2873,me-lu-uk-ma,0.2694,la-an-si-di-ia,0.2684,si-a-an-ku-uk-ra,0.2664,du-uh?,0.2626
te-[la-ak-ni],du-uh,0.2652,ku-du-ma,0.2639,(md)hu-um-ban-nu-me-na-gi,0.2632,(md)hu-ban-nu-um-me-en-na-ki,0.2548,(d)nin-a-li-me,0.2435
(d)hu-ban-nu-me-na-ki,ru-tu4,0.2774,si-ia-an-ku-uk-pa-me,0.2691,(d)hi-iš-mi-ti-ik,0.269,a-ak],0.2546,[la-ha-ak-ir-ra,0.2542
zig-ra-tu4-me,pi-du-um-ma,0.3094,ir,0.2927,hi-ih-li,0.2566,u2-pa-at,0.2566,tu4-ni-ih,0.2559
ta-an-ra,si-it-tan-me,0.2946,la-an-si-ti-pa,0.2854,hu-uh-[tah-ša],0.2838,in-di-ig-ga4,0.2511,(d)u2-pur-ku-ba-ak-me,0.2328
(m)un-taš-dingir-gal-me,hu-ut-tak-ha-li-ik,0.302,la-an-si-ti-ir-ra,0.2874,ki-ik-ki-ti-ih,0.2848,a-gi,0.2644,(d)in-šu-uš-[na-ak,0.2587
pi-ti-ir,(md)hu-um-ba-nu-me-na-ki],0.25,(md)hu-[um-ban-nu-me-na-gi],0.2497,šu-ul-lu-me-en-ga,0.2494,hu-ut-ta-ak,0.2448,š[u-šu-un-ka,0.2414
su-un-ki-ir,ša-qu-tu4,0.2968,pi-li-in,0.2719,an-ka,0.2535,x-pa-lu,0.2504,hu-pi-e,0.2424
a-ha-a,(d)in-šu-ši-na-ak,0.4016,(md)hu-ban-um-me-en-na-ki,0.3424,ša-[ak,0.3125,pi-el,0.2747,hu-lu-uh,0.2529
te-pu-uh,si-ia-an-ku-uk-pa],0.2659,ir,0.2625,[ur(?),0.2522,ku-du-ma,0.2507,(d)ši-mut,0.2468
kuš3,me-lu-uk-ma,0.314,mu-ur-ta-an,0.3118,na-a,0.2762,[me]-lu-u[k-ra],0.2692,(d)pi-el-ti-ya,0.2427
tuš,hi-ih,0.2623,[in-gi,0.2543,[šu-šu-un-ka,0.2522,[šu]-lu-me-en-[ga],0.2212,a[n-za]-an,0.2185
hi-še,u2,0.2943,(md)hu-ban-nu-me-na-ki,0.282,mu,0.2809,in-[ti-ik-ka,0.2792,(d)PA.TUG2,0.2745
ku-ši-ih-ši-ma,[hi-ih,0.4022,[te-ip]-ti,0.3025,an-za-an],0.2758,[a-gi],0.2735,su-us-ka-tah,0.2466
šu-šu-un,gi-ri-na,0.3088,in-ti-ik-[ka],0.2867,(d)hu-um-ban,0.2376,up-qu-mi-ma,0.2185,te-im-ma,0.2156
(m)hu-ban-um-me-na-ki,pa-ka-an-ra,0.3327,ni-im-ma,0.3001,ri,0.2724,su-un-ki-ik,0.2363,mu-ur-ta-ah,0.2327
(md)hu-ban-um-me-en-na-ki,a-ha-a,0.3424,u2,0.3337,ku-ši-ih,0.3145,mu-ur-tah,0.3064,(d)na-zi-it-me,0.3021
(d)pi-ni-gir3-me,la-am]-li-[e-ma,0.2589,ar,0.2381,hu-ma-ka-ak,0.2364,ka-tah2,0.2265,du-uh?,0.2252
(d)hu-um-ban-nu-me-na-gi,[hu]-šu-ia,0.3752,(d)ki-ri-ri-ša,0.3686,u2-me,0.3141,in-gi,0.2627,si-ia-ni-me,0.2575
te-im-ma,az-ki-it,0.304,i-la-a-ni-me,0.2914,a-bu-ul-lu,0.2715,mu-ur-ti,0.2512,(d)hu-um-ban,0.2508
hu-ut-tah-ša,zu-un-ki-ik,0.4018,ul-hi,0.3307,(d)u2-pur-ku-ba-ak,0.3121,[…]-a,0.3074,hi-en-ka,0.3031
ka?-ap-na-ak,(d)im,0.311,te-ip-ti,0.2833,ša-ri-ih,0.2773,a-ak,0.2705,li-ni-en,0.2515
za-ah-ri,hu-[ut-tah],0.2745,du-ha-an-ra,0.2453,hu-ut2-tak-ha]-li-[ik,0.2444,pi-ti-ir,0.23,(d)ša-la,0.2283
ha-li-ik,hi-e]n-ka,0.2528,ši-in-ni,0.252,hi-[…],0.2505,zi-it-im-ma,0.2505,pi-el,0.2485
hu-ut-ta-ak,(d)in-na-na,0.3065,an-ka,0.2601,si-ia-an-[ku-uk-ra,0.2565,si-a-an-ku-uk,0.2482,en,0.247
tu4-ur-hi-ih,si-ia-an-ku-uk-pa,0.2494,a-ak],0.2491,en,0.2328,u2-me,0.2293,mi-el-ki,0.2221
ša-at-ki-me,ku-tu4-un,0.3323,(f)na-pir2-a-su,0.3029,du-ni-ih-ši-ni-e,0.2791,pa-at-tah,0.2772,hu-ut-ta-an-ra,0.2706
a-pi-me,hu-ut-ta-an-ra,0.3706,gi-nu-ni,0.3299,li-na,0.3282,hu-ut2-tak-ha-li]-ik,0.2989,u2-me,0.2769
(m)un-taš-dingir-gal-ki,[(d)in]-šu-uš-na-ak,0.2911,tu4-ul-li-in,0.267,[…u2]-pa-at,0.2632,ša-am?-me-eh-ši,0.2453,ki-ib-ra-at3,0.2392
ru-tu4,(d)hu-ban-nu-me-na-ki,0.2774,hu-ut-ta-an-ra,0.2714,ha-<at>,0.2627,(d)hi-iš-mi-ti-ik,0.2536,zig-ra-tu4,0.2535
[(d)in]-šu-uš-na-ak,u2,0.3225,(m)un-taš-dingir-gal-ki,0.2911,hu-uh-ni-me,0.2681,ak-ka,0.2607,ša-[ak,0.2465
ku-u[k-ši-ih],šu-šu-un-ka,0.3871,hu-ut-tak-ha-li-ik,0.3677,a-ak,0.3534,si-ia-an-ku-uk-ra,0.3227,tu4-ur,0.3028
hu]-us-si-ip-me,ia-ak,0.3062,li-na],0.2968,(d)ki-la-ah-šu-pi-ir,0.2686,ip-il-la-ti,0.2633,(md)hu-um-ban-nu-me-na-gi,0.2434
[…u2-pa-at,ha-ap-ti-iš,0.3297,(d)30,0.3131,(d)hu-ban-nu-me-na-gi,0.3092,[tu-ur],0.2831,[si-i-an]-ku-uk,0.2751
up-ku-mi-[ia],(d)ha-te-ri-iš-nu,0.3102,(md)hu-um-ban-nu-me-na-gi,0.293,(m)un-taš-dingir-gal,0.2729,la-an-[si-ti-me,0.2715,x-pa-lu,0.2569
[ku-ku]-un-nu-um,si-a-an,0.3272,in-di-ig-ga,0.3185,ta-li-in,0.3122,[…]-ar-na,0.3041,u2-pa-ti-pi,0.2735
in-[ti-ik-ka,(d)in-na-na,0.3756,hu-tu4-un-ra,0.3471,hu]-uh-tah,0.3317,(md)hu-ban-nu-me-na-ki,0.2879,hi-še,0.2792
[in]-gi,ta-li-in,0.2572,ki-iš-tu4-um-ma,0.2531,a]-ak,0.2503,(d)u2-pur-ku-pa-ak,0.2482,(d)ki-{ri-ri}-ša,0.2434
[tu-ur],[…u2-pa-at,0.2831,a-ha,0.2488,an-[za-an],0.2256,[šu]-lu-me-en-[ga],0.2192,pi-it-te-ka,0.2189
šu-šu-un-[ka]-[…],[…]-nu-me-na-gi,0.3393,si-ia]-an-ku-uk-pa,0.3273,si-a-ku-uk,0.3271,10,0.2699,(d)in-šu-uš-na-ak4,0.2455
[an-za-a]n,[az-ki-it,0.2563,du-ni-iš-ni,0.256,an-za-an,0.2551,ha-al-li,0.255,(d)na-ap-ra-te-ip,0.2537
[…]-ti-e?,ku-[ku]-un-nu-um,0.3721,si-ia-a-an-ku-uk-me,0.2901,[hu]-ut2-tah,0.2506,{ku-ši-ih},0.239,(d)ki-la-ah-šu-pi-ir],0.2249
-me,tu4-ru-un-ka,0.2967,[li-mi-in-ra,0.2967,(d)kir-ma-sir-me,0.2887,DINGIR-GAL,0.2729,ha-al-te-te,0.2708
zig-ra-tu4,pi-ip-li-ih,0.2959,[…]-a,0.2853,(d)in-šu-uš-n[a-ak,0.2676,ru-tu4,0.2535,(d)hu-ban-nu-me-na-ki,0.244
[…u2]-pa-at,hi-e]n-ka,0.3438,zi-it-im-ma,0.3017,(m)un-taš-dingir-gal-ki,0.2632,(d)in-šu-ši-na-ak-me,0.2579,in(?)],0.2493
hi-iš-e,(d)hi-iš-mi-di-ik,0.279,ku-ši-ih-ša,0.2717,gi-ri-ni,0.2496,hu,0.2472,[in,0.2374
hi?-iš,hi?-[…],0.2767,ik-el,0.2485,(d)be-la-la,0.2412,(d)hi-iš-mi-ti-ik,0.2367,ki-it-ti-im-ma,0.2273
[a-h]a-an,il-ki-ka,0.2855,si-ia-an-ku-uk-pa,0.2743,me-en-pu,0.2681,[…]-ar-na,0.2656,in-ti-ig-ga,0.2573
hi-[…],ik-ku,0.3255,a-ha-ar,0.3208,ul-li-na,0.2759,(d)30,0.2738,in-ti-ig-ga8,0.266
[š]u?-ut?-ta?,zu-uk-ma,0.2742,an-ka,0.2696,si-ti-i,0.2534,hu-ut-tah,0.2425,li-ik-ri,0.239
[šu-šu]-un-ka,da-ah,0.3121,in-gi,0.2722,lu-lu-uh-šu,0.2528,ma-šu-um,0.2495,(d)hu-ban-nu-me-na-ki,0.2494
ša-tu4-uh-ni,ku-te-en,0.3684,zu-lu-ka-ak,0.3244,u3,0.2921,in-ti-ig-ga8,0.2608,in-di-ig-ga2,0.2437
ki-ib-ra-at,(d)iš-ni-ka-ra-ab,0.2875,hu-si-ip-me,0.2531,[…]-uš-ni-e,0.2508,si]-it-tim,0.246,(d)[…],0.2302
in-ti-ig-ga8,du-[…]h-pi,0.3513,ha-<at>,0.2704,hi-[…],0.266,ša-tu4-uh-ni,0.2608,su-un-ki]-ik,0.2542
ki-it-ti-ma,in-ti-ik-[ka],0.2614,ap-pu-ki-me,0.2436,ku-ku-un-nu-um,0.2325,u2-ri-pu-be,0.2288,hi-ih2,0.2282
(d)in-šu-uš-na-ak4,(m)un-taš-dingir-gal,0.3117,ha-<at>,0.3044,(d)hi-iš-mi-ti-ik,0.3013,(md)hu-um-ban-um-me-en-na-ki,0.2733,(md)hu-um-ban-nu-me-en-na-ki,0.2721
ki-ib-ra-at3,[me]-lu-u[k-ra],0.3483,su-un-ki]-ik,0.2915,li-e,0.2844,i,0.2817,su-un-ki-i[k],0.2772
(md)hu-ban-nu-me-na-ki,a-ha-ar,0.3217,(d)da-mu-si,0.3165,an-za-an,0.2887,in-[ti-ik-ka,0.2879,hi-še,0.282
(d)ru-hu-ra-te-ir-me,(d)zu-un-ki-ir-ri-ša-ar-ra-me,0.3025,hi-i-še-e,0.2885,li-e,0.2825,šu-ut-ku-me,0.278,mu-ur-ta-an,0.2535
(d)hi-iš-mi-ti-ik2,la-an-[si-ti-me,0.3171,pa-at-tah,0.2992,(d)ša-la,0.2727,(d)in-šu-uš-n[a-ak],0.2652,il-ki-ka,0.264
la-an-si-ti-pa,(md)hu-um-ban-um-me-en-na-ki,0.2981,ta-an-ra,0.2854,me-it-ki-ni,0.238,ki-ib-ra-at3,0.2267,[…u2-pa-at,0.2076
(d)nin-a-li-me,si-[ia-an-ku]-uk-[ra,0.2774,[…]-ih-ma,0.2673,hi-ih-ni],0.2473,u2-pa-ti-pi,0.2454,te-[la-ak-ni],0.2435
(d)ša-la-me,(d)hi-iš-mi-ti-ik,0.2899,zi-it-im-ma,0.2718,ku-u[k-ši-ih],0.2633,ku-ši-ih-ma,0.2591,zu-un-ki-ip,0.2528
a-aš2-ta2,hu-ut2-tah-ha-li-ih,0.2668,ta-aš2-ni,0.2626,(d)in-šu-[uš]-na-ak,0.2573,(d)in]-šu-uš-n[a-ak,0.2527,u2-ri-pu-be,0.2501
si-ia-an-ku-uk-pa],mu-uh-du-uh-me,0.3109,ša-ak,0.277,(d)aiba-sunkir,0.2696,te-pu-uh,0.2659,(d)ki-ri-ri-ša,0.2568
(d)in-šu-[uš-na-ak,(d)kir-ma-sir-me,0.2938,hu]-uh-tah,0.2886,hu-uh-tah,0.2375,[la-ha-ak-ir-ra],0.2326,(f)na-pir2-a-su,0.2289
a]-ak,ku-ši-ih,0.3841,[a-ak,0.279,an-za-an,0.2783,ia,0.2672,hu-ut2-tak-[ha-li-ik,0.2631
ku-ku-un-nu-um…,in-gi,0.3391,lu-lu-uh-šu,0.2921,pi-el,0.291,in-ti-[ig]-ga,0.2535,ki-it-ti-in,0.2497
si-ia-an-[ku-uk-pa,hu-ut-tah,0.3251,hi-iš,0.2732,ku-du-ni,0.2458,hu-hu-un,0.2457,zu-uk-ka-an,0.2337
(d)in-šu-uš]-na-ak,(d)pi-ni-gìr,0.3486,ki-it-ti-im-ma,0.3381,(d)in-šu-uš-n[a-ak],0.31,si-it-me,0.2924,ta-[ak]-me,0.2861
la-an-[si-ti-me,hu-ut-ta-an-ra,0.3407,(d)hi-iš-mi-ti-ik2,0.3171,dingir-gal,0.2833,(husa)tukul-har-sag,0.2817,[si]-ia-an-ku-uk,0.281
ku-ku-un-nu-um],šu-up,0.3253,a-al,0.2885,[in-ti]-ik-ka,0.2755,ku-ul-la-an-ka,0.2718,(md)hu-um-ba-nu-me-na-ki],0.2385
šu-[šu-un-ka,tu4-ur],0.2649,ša-[ak,0.2578,e,0.2559,pi-ip-ši-it-te,0.2438,(d)ši-ia-šu-um,0.232
(md)hu-um-ba-nu-me-na-ki],(d)u2-pur-ku-ba-ak,0.2957,a[n-za]-an,0.2641,pi-ti-ir,0.25,ku-ku-un-nu-um],0.2385,du-ni-ih-ši-ni-e,0.2319
ša-[ak,a-ha-a,0.3125,si-ia-an-i-me,0.3014,su-un-ki-ik,0.2639,la-an-gi-el-li,0.2631,en,0.2621
[…]-uš-ni-e,az-ki-[it],0.3184,e[l?-x-x]-at-tu4,0.2802,me-lu-uk-ra,0.2798,i-la-a-ni-me,0.2648,ki-ib-ra-at,0.2508
ra,la-an-gi-el-li,0.3115,an-za-an,0.2776,a-gi,0.2774,mu-ši-a,0.2705,sa-ah-ri,0.2537
si-ia-an-ku]-uk-pa,mu-ur-tah,0.3339,la-ha-ak-ir-ra,0.2866,ki-nu-ni,0.2809,ta-ak-ni,0.2698,(d)30,0.2661
(d)in]-šu-uš-n[a-ak,si-it-me,0.2902,u2-ri-pu-be,0.2603,ku-ši-ih-ša,0.2583,a-aš2-ta2,0.2527,du-ni-ih,0.2524
ku]-ku-un-[nu-um,ka-ak-pa-ah,0.2481,šu-ul-lu-me-ga,0.2464,hu-ut2-tak,0.2413,(d)hi-iš-mi-di-ik,0.2366,x-x,0.2351
[in,la-am]-li-[e-ma,0.2895,du-un-ra,0.2663,hi-iš-e,0.2374,la-[ha]-ak-[ir]-ra,0.235,li-ik-ri,0.234
si-ia]-an-ku-uk-pa,ku-ši-ha,0.3401,(d)na-ap-ra-te-ip-me,0.3355,šu-šu-un-[ka]-[…],0.3273,ku-du-ni,0.2656,ta-ri-ir,0.2655
(d)in-šu-uš-[na-ak,[h]a-li-ik,0.2774,(m)un-taš-dingir-gal-me,0.2587,pa-at-tah,0.2418,ku-ši-ha,0.2319,(d)ru-hu-ra-te-ir,0.2317
[dingir-gal,u2-me,0.2814,a-lu-mi-im-ma,0.2784,li?-ki?-ri?-en?,0.2711,(d)ki-la-ah-šu-pi-ir,0.2651,pu-uk-ši,0.2543
la-an-si-ti-me,mu-ur-tah,0.3212,in-di-ig-ga,0.3068,si-ia-an,0.3042,la-am]-li-[e-ma,0.2956,a-ha,0.2904
ku-ku-un-[nu-um,(d)u2-pur-ku-ba-ak-me,0.3006,me-lu-uk-ra,0.258,(d)hi-iš-mi-di-ik,0.2427,[h]a-li-ik,0.2318,pi-ip-ši-ia,0.2303
su-un-ki]-ik,ki-ib-ra-at3,0.2915,ha-<at>,0.2914,u2-[me,0.2654,in-ti-ig-ga8,0.2542,na-pir2-ri-ša-ar-ra-pi,0.2393
(md)hu-um-ba-nu-me-na-[ki,hu-[ut]-tak-ha-li-ik,0.3462,me-lu-uk-ra],0.2848,zu-lu-ka-ak,0.2514,ta-aš2-ni,0.2346,zu-un-ki-ip,0.2316
(d)in-šu-uš-[na-ak],(d)na-ap-ra-te-ip-me,0.2483,[…]-ar-na,0.2469,te-la-ak,0.2424,ku]-ku-un-[nu-um,0.2314,li-na],0.2287
[tu4-ur],(d)in-šu-ši-na-ak,0.3137,ip-il-la-ti,0.3009,(md)hu-ban-um-me-en-na-ki,0.2752,mi-el-ki,0.2415,ku-tu4-un,0.237
šu-<ut>-ki-me,(d)nun.sunki-me,0.3308,in-gi,0.2647,[…]-pi,0.2618,pa-ar,0.2584,ka-ak-pa-ah,0.2467
[me]-lu-u[k-ra],[a-ak,0.3801,ki-ib-ra-at3,0.3483,si-ir-ha-al-te,0.2831,kuš3,0.2692,i,0.2692
la-an-si-ti-ra,in-ti-ig-ga,0.3345,up-qu-mi-ma,0.2474,hu-ma-an-ra,0.2473,hu-ut-ta-an-ra,0.2433,(d)hu-ban-um-me-en-na-ki,0.2393
(d)na-bu-me,(d)ru-hu-ra-tir,0.2987,(md)hu-[um-ban-nu-me-na-gi],0.2944,zig-ra-tu4-me,0.2498,su-ku-un-ra,0.2294,š[u-šu-un-ka,0.2283
si-ma-aš2,hu-ut2-tak-[ha-li-ik,0.2491,uk-ku-ri,0.2447,ip,0.2269,[šu-šu-un-ka,0.2213,(m)un-taš-dingir-gal-me,0.2174
ul-lu-ru-uk,un,0.2773,(d){na-bu}-u2,0.2709,hu-un-hi-ih-na,0.2669,[šu-šu-un-ka,0.2628,(d)hu-ba-nu-me-en-na-ki,0.2507
ku-te-en,ša-tu4-uh-ni,0.3684,ku-ul-la-an-ka,0.2732,su-un-ki-ip,0.2668,in-di-ig-ga2,0.2602,[hu-us-si]-ip-me,0.2573
a-i-in,(d)na-ah-hu-un-te,0.3024,hu-ma-ka-ak,0.2655,hi-še,0.261,i,0.2586,pi-el],0.245
